Blocking,Classifier,Attributes,RR,PC,PQ,Accuracy,Precision,Recall,F-measure,Blocking Time,Comparison Time,Classification TIme,Time
soundex,simClass,"[1, 3, 4]",0.9999789175,0.6287,0.7455235384797818,0.999990495,0.9860414052697616,0.6287,0.7678309721543722,0.23024415969848633,0.3839690685272217,0.004050731658935547,0.8262457847595215
soundex,weightSimClass,"[1, 3, 4]",0.9999789175,0.6287,0.7455235384797818,0.9999906825,0.9982525814138205,0.6284,0.7712795335992636,0.2331409454345703,0.2505829334259033,0.03342151641845703,0.7251272201538086
soundex,treeClass,"[1, 3, 4]",0.9999789175,0.6287,0.7455235384797818,0.9999907175,1.0,0.6287,0.772026769816418,0.25243401527404785,0.29769134521484375,1.4649620056152344,2.223069190979004
slk,simClass,"[1, 3, 4]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.17317509651184082,0.062407493591308594,0.015694379806518555,0.4592587947845459
slk,weightSimClass,"[1, 3, 4]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.26690030097961426,0.06307291984558105,0.0473630428314209,0.5853180885314941
slk,treeClass,"[1, 3, 4]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.1862504482269287,0.05035090446472168,0.4569380283355713,0.9015212059020996
soundex,simClass,"[1, 4, 10]",0.9993999025,0.7394,0.03080332779256704,0.9999825875,0.6291159703905386,0.7394,0.6798142784903232,0.25968480110168457,16.38731336593628,0.1634659767150879,17.01844596862793
soundex,weightSimClass,"[1, 4, 10]",0.9993999025,0.7394,0.03080332779256704,0.9999908875,0.8775995246583482,0.7385,0.8020635351615532,0.19382596015930176,16.579326152801514,0.38010454177856445,17.361238479614258
slk,simClass,"[1, 4, 10]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.18958687782287598,0.05399298667907715,0.00963449478149414,0.4611961841583252
slk,weightSimClass,"[1, 4, 10]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.13022184371948242,0.042217254638671875,0.026342391967773438,0.40676331520080566
soundex,simClass,"[1, 4, 6, 10]",0.9998585625,0.6563,0.1160053026955369,0.99998881,0.8633254406735069,0.6563,0.7457107146915123,0.4240567684173584,3.5256597995758057,0.03469252586364746,4.1923909187316895
soundex,weightSimClass,"[1, 4, 6, 10]",0.9998585625,0.6563,0.1160053026955369,0.9999907625,0.9624468241161801,0.6561,0.7802818576440507,0.2635171413421631,3.516221523284912,0.14119529724121094,4.128915786743164
slk,simClass,"[1, 4, 6, 10]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.16328668594360352,0.1474623680114746,0.00494837760925293,0.523679256439209
slk,weightSimClass,"[1, 4, 6, 10]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.13878345489501953,0.08433675765991211,0.04758644104003906,0.47868847846984863
